#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00024_4        -            183 46636at72274         -            152   5.7e-93  307.4   0.3   1   1   9.8e-96   6.9e-93  307.1   0.3     1   152    17   182    17   182 0.94 # 5259 # 5807 # 1 # ID=24_4;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
contig01471_2        -            357 46636at72274         -            152   0.00088   17.9   7.8   1   2    0.0012      0.81    8.3   0.2    65    93   266   294   257   310 0.85 # 399 # 1469 # -1 # ID=1471_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.667
contig01471_2        -            357 46636at72274         -            152   0.00088   17.9   7.8   2   2   6.2e-05     0.043   12.4   2.5    34    55   311   333   297   346 0.79 # 399 # 1469 # -1 # ID=1471_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.667
contig00774_3        -             82 46636at72274         -            152    0.0019   16.8   4.9   1   1   5.5e-06    0.0039   15.8   4.9    33    94    19    75     2    81 0.71 # 2049 # 2294 # 1 # ID=774_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
contig00782_1        -            758 46636at72274         -            152    0.0041   15.7   4.1   1   2   0.00017      0.12   10.9   4.3    74   128   357   411   353   428 0.74 # 49 # 2322 # -1 # ID=782_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.686
contig00782_1        -            758 46636at72274         -            152    0.0041   15.7   4.1   2   2     0.028        20    3.7   0.5    32    51   408   427   397   445 0.81 # 49 # 2322 # -1 # ID=782_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.686
contig01702_2        -             84 46636at72274         -            152    0.0051   15.4   6.5   1   2    0.0011      0.74    8.4   2.3    75    94     8    27     3    41 0.73 # 427 # 678 # 1 # ID=1702_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
contig01702_2        -             84 46636at72274         -            152    0.0051   15.4   6.5   2   2   0.00036      0.26    9.9   0.5    29    65    33    72    26    81 0.69 # 427 # 678 # 1 # ID=1702_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
contig00581_4        -            189 46636at72274         -            152    0.0082   14.7   9.7   1   2    0.0039       2.7    6.5   1.9    35    52   111   128   104   136 0.67 # 1317 # 1883 # 1 # ID=581_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.702
contig00581_4        -            189 46636at72274         -            152    0.0082   14.7   9.7   2   2   5.5e-05     0.039   12.5   1.1    35    64   141   170   134   176 0.84 # 1317 # 1883 # 1 # ID=581_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.702
contig01186_2        -            113 46636at72274         -            152    0.0093   14.6   8.1   1   1   7.4e-05     0.052   12.1   8.1    37   102     9    66     5    79 0.74 # 1318 # 1656 # -1 # ID=1186_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.649
